pseudo	target_pseudo	common_tweet	common_ngram
Jacques_j_r	jbdespelotes	288	7290
jbdespelotes	Jacques_j_r	288	7290
jbdespelotes	solarcx69	270	6830
solarcx69	jbdespelotes	270	6830
Jacques_j_r	solarcx69	247	6186
solarcx69	Jacques_j_r	247	6186
guyboulianne	LorrainRuth	102	2352
LorrainRuth	guyboulianne	102	2352
EricFouque	jbdespelotes	72	1872
Jab52201002	jbdespelotes	72	1886
jbdespelotes	EricFouque	72	1872
jbdespelotes	Jab52201002	72	1886
jbdespelotes	LandelleDavid	72	1936
jbdespelotes	MCFanjas	72	1925
LandelleDavid	jbdespelotes	72	1936
MCFanjas	jbdespelotes	72	1925
Jacques_j_r	LandelleDavid	65	1715
LandelleDavid	Jacques_j_r	65	1715
EricFouque	Jacques_j_r	64	1486
Jab52201002	Jacques_j_r	64	1520
Jacques_j_r	EricFouque	64	1486
Jacques_j_r	Jab52201002	64	1520
Jacques_j_r	MCFanjas	64	1704
MCFanjas	Jacques_j_r	64	1704
LandelleDavid	solarcx69	61	1589
solarcx69	LandelleDavid	61	1589
Alicesweatdream	conspjustice	60	720
conspjustice	Alicesweatdream	60	720
EricFouque	solarcx69	60	1420
Jab52201002	solarcx69	60	1449
MCFanjas	solarcx69	60	1592
solarcx69	EricFouque	60	1420
solarcx69	Jab52201002	60	1449
solarcx69	MCFanjas	60	1592
badiramour	Monteverdeau1	51	1828
Monteverdeau1	badiramour	51	1828
AimarreJan	Artemisiaisgood	46	644
AlainPatrickM	Artemisiaisgood	46	644
Artemisiaisgood	AimarreJan	46	644
Artemisiaisgood	AlainPatrickM	46	644
Artemisiaisgood	DMrjoc	46	690
Artemisiaisgood	GeneviveCaron18	46	644
Artemisiaisgood	Highlander__88	46	667
Artemisiaisgood	kte06kte	46	644
Artemisiaisgood	LevyLoiseau	46	644
DMrjoc	Artemisiaisgood	46	690
GeneviveCaron18	Artemisiaisgood	46	644
Highlander__88	Artemisiaisgood	46	667
